coin,timestamp,type,price,profit
ARB,2025-04-10 03:00:00,buy,0.2841,0.0
ARB,2025-04-11 17:00:00,sell,0.2972,461.1052446321718
LINK,2025-04-09 08:00:00,buy,11.39,0.0
LINK,2025-04-10 16:00:00,sell,11.88,430.2019315188764
LINK,2025-04-11 02:00:00,buy,12.29,0.0
DOGE,2025-04-08 01:00:00,buy,0.15177,0.0
DOGE,2025-04-08 03:00:00,sell,0.15136,-27.0145615075439
DOGE,2025-04-08 04:00:00,buy,0.15242,0.0
DOGE,2025-04-08 05:00:00,sell,0.15083,-104.03521091197406
DOGE,2025-04-08 07:00:00,buy,0.15079,0.0
DOGE,2025-04-08 09:00:00,sell,0.15061,-11.78069527796684
DOGE,2025-04-08 10:00:00,buy,0.15097,0.0
DOGE,2025-04-08 12:00:00,sell,0.15418,209.5880916651736
DOGE,2025-04-08 20:00:00,buy,0.1439,0.0
DOGE,2025-04-08 22:00:00,sell,0.14282,-75.55314964478862
DOGE,2025-04-09 04:00:00,buy,0.14224,0.0
DOGE,2025-04-09 08:00:00,sell,0.14644,295.0158801473284
DOGE,2025-04-09 10:00:00,buy,0.14753,0.0
DOGE,2025-04-09 11:00:00,sell,0.14385,-256.58029488544923
DOGE,2025-04-09 12:00:00,buy,0.14595,0.0
DOGE,2025-04-09 14:00:00,sell,0.14517,-53.60136516941525
DOGE,2025-04-09 15:00:00,buy,0.14615,0.0
DOGE,2025-04-09 18:00:00,sell,0.15947,909.2085898707672
DOGE,2025-04-09 19:00:00,buy,0.16031,0.0
DOGE,2025-04-09 22:00:00,sell,0.16155,84.1975337316119
DOGE,2025-04-10 04:00:00,buy,0.156,0.0
DOGE,2025-04-10 07:00:00,sell,0.15606,4.219017237699448
DOGE,2025-04-10 09:00:00,buy,0.15662,0.0
DOGE,2025-04-10 10:00:00,sell,0.15621,-28.726868678680667
DOGE,2025-04-10 11:00:00,buy,0.15629,0.0
DOGE,2025-04-10 12:00:00,sell,0.1562,-6.302670209175137
DOGE,2025-04-10 14:00:00,buy,0.15537,0.0
DOGE,2025-04-10 15:00:00,sell,0.14959,-406.9338111154323
DOGE,2025-04-10 16:00:00,buy,0.15139,0.0
DOGE,2025-04-10 21:00:00,sell,0.15418,194.0910519443402
DOGE,2025-04-11 01:00:00,buy,0.15656,0.0
DOGE,2025-04-11 02:00:00,sell,0.15627,-19.86765167212006
DOGE,2025-04-11 03:00:00,buy,0.15671,0.0
DOGE,2025-04-11 04:00:00,sell,0.15651,-13.663357648552353
DOGE,2025-04-11 05:00:00,buy,0.15714,0.0
DOGE,2025-04-11 07:00:00,sell,0.15714,0.0
DOGE,2025-04-11 08:00:00,buy,0.15732,0.0
DOGE,2025-04-11 10:00:00,sell,0.15878,99.22896243769948
DOGE,2025-04-11 13:00:00,buy,0.15899,0.0
DOGE,2025-04-11 14:00:00,sell,0.15802,-65.83901380969934
DOGE,2025-04-11 15:00:00,buy,0.15869,0.0
DOGE,2025-04-11 18:00:00,sell,0.15975,71.6440198191071
DOGE,2025-04-11 19:00:00,buy,0.15977,0.0
DOGE,2025-04-11 22:00:00,sell,0.16057,54.064189754386234
DOGE,2025-04-12 03:00:00,buy,0.15875,0.0
DOGE,2025-04-12 07:00:00,sell,0.16298,289.1417149109112
DOGE,2025-04-12 09:00:00,buy,0.16297,0.0
DOGE,2025-04-12 10:00:00,sell,0.16215,-56.054551934776406
DOGE,2025-04-12 12:00:00,buy,0.16266,0.0
DOGE,2025-04-12 16:00:00,sell,0.16587,218.74505825317507
DOGE,2025-04-12 18:00:00,buy,0.16722,0.0
DOGE,2025-04-12 19:00:00,sell,0.16633,-60.159310534044465
DOGE,2025-04-12 20:00:00,buy,0.16808,0.0
DOGE,2025-04-12 21:00:00,sell,0.16789,-12.70928131477119
DOGE,2025-04-12 22:00:00,buy,0.16842,0.0
DOGE,2025-04-12 23:00:00,sell,0.16763,-52.67755984569231
DOGE,2025-04-13 00:00:00,buy,0.16809,0.0
ETH,2025-04-10 15:00:00,buy,1495.98,0.0
ETH,2025-04-11 04:00:00,sell,1547.49,344.32278506397137
